"fecha","CABA","COMUNA 1","COMUNA 3","COMUNA 4","COMUNA 7","COMUNA 8"
2020-02-03,1,0,0,0,1,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,2,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,1,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,1,1,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,2,0,0,0,0,0
2020-03-02,0,0,0,0,0,0
2020-03-03,1,0,1,0,0,0
2020-03-04,6,1,0,0,1,0
2020-03-05,1,0,0,0,0,0
2020-03-06,6,0,0,0,1,0
2020-03-07,2,1,0,0,0,0
2020-03-08,3,0,0,0,0,0
2020-03-09,11,0,1,0,0,0
2020-03-10,5,0,0,0,0,0
2020-03-11,14,0,1,0,1,0
2020-03-12,17,0,1,0,1,0
2020-03-13,18,0,0,0,0,0
2020-03-14,14,1,0,1,1,0
2020-03-15,15,0,1,0,0,0
2020-03-16,20,1,1,0,1,0
2020-03-17,28,2,4,0,1,0
2020-03-18,20,1,0,0,1,0
2020-03-19,29,0,2,0,1,0
2020-03-20,28,1,2,0,1,0
2020-03-21,36,2,1,0,0,0
2020-03-22,20,0,1,0,1,0
2020-03-23,39,1,1,0,2,0
2020-03-24,22,0,0,0,0,0
2020-03-25,29,0,0,1,1,0
2020-03-26,25,0,1,0,2,0
2020-03-27,19,0,1,0,2,0
2020-03-28,17,0,0,0,0,1
2020-03-29,18,0,0,0,0,0
2020-03-30,23,0,0,0,1,0
