"fecha","Neuquén","Confluencia","Loncopué"
2020-01-02,1,0,0
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,1,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,1,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,1,0,0
2020-01-19,0,0,0
2020-01-20,1,0,0
2020-01-21,0,0,0
2020-01-22,1,1,0
2020-01-23,0,0,0
2020-01-24,1,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,1,1,0
2020-01-28,0,0,0
2020-01-29,1,1,0
2020-01-30,3,1,0
2020-01-31,2,1,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,1,1,0
2020-02-22,0,0,0
2020-02-23,1,1,0
2020-02-24,2,2,0
2020-02-25,1,1,0
2020-02-26,1,1,0
2020-02-27,1,0,0
2020-02-28,1,1,0
2020-02-29,1,1,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,1,1,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,1,1,0
2020-03-12,0,0,0
2020-03-13,1,1,0
2020-03-14,0,0,0
2020-03-15,3,2,0
2020-03-16,3,3,0
2020-03-17,1,1,0
2020-03-18,2,2,0
2020-03-19,2,1,0
2020-03-20,4,4,0
2020-03-21,2,1,0
2020-03-22,1,1,0
2020-03-23,7,4,0
2020-03-24,4,0,1
2020-03-25,4,1,0
2020-03-26,2,1,0
2020-03-27,2,1,1
2020-03-28,3,2,0
2020-03-29,2,1,1
2020-03-30,5,1,3
2020-03-31,6,2,3
2020-04-01,7,3,2
2020-04-02,4,1,2
2020-04-03,3,0,1
2020-04-04,7,3,4
2020-04-05,5,0,3
2020-04-06,4,1,3
2020-04-07,6,0,5
2020-04-08,1,1,0
2020-04-09,2,0,2
2020-04-10,3,1,1
2020-04-11,3,2,1
2020-04-12,0,0,0
2020-04-13,1,1,0
2020-04-14,2,2,0
2020-04-15,1,1,0
2020-04-16,1,1,0
2020-04-17,2,2,0
2020-04-18,0,0,0
2020-04-19,1,1,0
2020-04-20,2,2,0
2020-04-21,1,1,0
2020-04-22,2,2,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,3,2,1
2020-04-27,0,0,0
2020-04-28,1,1,0
2020-04-29,1,1,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,2,2,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,1,1,0
2020-05-11,2,2,0
2020-05-12,1,1,0
2020-05-13,0,0,0
2020-05-14,1,1,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,1,1,0
2020-05-19,3,3,0
2020-05-20,2,2,0
2020-05-21,1,1,0
2020-05-22,1,0,0
2020-05-23,3,3,0
2020-05-24,2,2,0
2020-05-25,7,7,0
2020-05-26,4,4,0
2020-05-27,6,5,0
2020-05-28,1,1,0
2020-05-29,2,2,0
2020-05-30,3,3,0
2020-05-31,7,7,0
2020-06-01,3,2,0
2020-06-02,4,4,0
2020-06-03,6,6,0
2020-06-04,8,8,0
2020-06-05,7,6,0
2020-06-06,5,5,0
2020-06-07,14,14,0
2020-06-08,9,9,0
2020-06-09,9,9,0
2020-06-10,8,8,0
2020-06-11,18,18,0
2020-06-12,12,11,0
2020-06-13,18,18,0
2020-06-14,15,15,0
2020-06-15,19,19,0
2020-06-16,13,13,0
2020-06-17,16,16,0
2020-06-18,24,24,0
2020-06-19,18,16,0
2020-06-20,25,24,0
2020-06-21,14,14,0
2020-06-22,16,16,0
2020-06-23,17,17,0
2020-06-24,23,23,0
2020-06-25,20,19,0
2020-06-26,17,15,0
2020-06-27,12,9,0
2020-06-28,17,16,0
2020-06-29,26,25,0
2020-06-30,26,23,0
2020-07-01,23,23,0
2020-07-02,21,18,0
2020-07-03,17,16,0
2020-07-04,24,23,0
2020-07-05,22,19,0
2020-07-06,21,20,0
2020-07-07,17,17,0
2020-07-08,29,26,0
2020-07-09,29,28,0
2020-07-10,19,19,0
2020-07-11,21,19,0
2020-07-12,26,26,0
2020-07-13,25,22,0
2020-07-14,17,17,0
2020-07-15,25,23,0
2020-07-16,21,21,0
2020-07-17,18,18,0
2020-07-18,29,26,0
2020-07-19,22,21,0
2020-07-20,32,28,0
2020-07-21,36,30,0
2020-07-22,19,13,0
2020-07-23,34,27,0
2020-07-24,25,22,0
2020-07-25,17,17,0
2020-07-26,32,25,0
2020-07-27,30,29,0
2020-07-28,25,25,0
2020-07-29,28,28,0
2020-07-30,31,31,0
2020-07-31,32,32,0
2020-08-01,49,48,0
2020-08-02,41,41,0
2020-08-03,47,47,0
2020-08-04,58,57,0
2020-08-05,55,55,0
2020-08-06,48,45,0
2020-08-07,42,42,0
2020-08-08,61,59,0
2020-08-09,35,33,0
2020-08-10,71,69,0
2020-08-11,41,37,0
2020-08-12,58,56,0
2020-08-13,53,46,0
2020-08-14,62,52,0
2020-08-15,78,73,0
2020-08-16,53,46,0
2020-08-17,91,77,2
2020-08-18,95,82,0
2020-08-19,97,82,0
2020-08-20,119,102,0
2020-08-21,123,109,0
2020-08-22,117,105,0
2020-08-23,118,110,0
2020-08-24,128,114,0
2020-08-25,152,142,0
2020-08-26,132,121,0
2020-08-27,156,139,0
2020-08-28,159,148,0
2020-08-29,143,126,0
2020-08-30,152,135,0
2020-08-31,199,187,0
2020-09-01,207,187,0
2020-09-02,227,211,0
2020-09-03,241,218,0
2020-09-04,213,194,0
2020-09-05,230,211,0
2020-09-06,239,219,0
2020-09-07,300,262,0
2020-09-08,261,232,0
2020-09-09,248,209,0
2020-09-10,299,262,1
2020-09-11,306,257,0
2020-09-12,315,273,0
2020-09-13,281,244,0
2020-09-14,342,289,0
2020-09-15,287,255,0
2020-09-16,273,242,0
2020-09-17,310,276,0
2020-09-18,365,328,0
2020-09-19,315,285,0
2020-09-20,417,387,0
2020-09-21,379,336,0
2020-09-22,326,296,0
2020-09-23,331,292,0
2020-09-24,360,337,0
2020-09-25,437,389,0
2020-09-26,417,372,0
2020-09-27,356,309,0
2020-09-28,514,468,0
2020-09-29,400,358,0
2020-09-30,390,342,4
2020-10-01,491,435,0
2020-10-02,463,409,0
2020-10-03,511,443,1
2020-10-04,415,348,3
2020-10-05,544,463,2
2020-10-06,462,400,2
2020-10-07,460,373,3
2020-10-08,520,438,3
2020-10-09,541,439,1
2020-10-10,681,563,2
2020-10-11,479,369,0
2020-10-12,538,412,0
2020-10-13,532,417,1
2020-10-14,529,429,0
2020-10-15,506,397,1
2020-10-16,533,417,2
2020-10-17,448,351,0
2020-10-18,478,368,0
2020-10-19,565,453,0
2020-10-20,528,419,0
2020-10-21,402,313,1
2020-10-22,458,356,1
2020-10-23,462,359,0
2020-10-24,421,315,0
2020-10-25,429,322,0
2020-10-26,549,419,0
2020-10-27,445,331,0
2020-10-28,409,310,0
2020-10-29,357,282,1
2020-10-30,440,341,0
2020-10-31,421,320,0
2020-11-01,422,294,0
2020-11-02,384,285,0
2020-11-03,379,266,1
2020-11-04,418,309,0
2020-11-05,315,229,0
2020-11-06,317,227,0
2020-11-07,304,224,0
2020-11-08,300,186,0
2020-11-09,389,274,1
2020-11-10,285,180,0
2020-11-11,274,176,1
2020-11-12,232,146,0
2020-11-13,232,168,0
2020-11-14,218,134,0
2020-11-15,224,139,0
2020-11-16,265,171,0
2020-11-17,216,133,0
2020-11-18,201,125,0
2020-11-19,163,85,1
2020-11-20,173,122,0
2020-11-21,179,102,1
2020-11-22,138,83,0
2020-11-23,185,110,1
2020-11-24,173,111,2
2020-11-25,164,93,2
2020-11-26,145,84,3
2020-11-27,173,93,5
2020-11-28,203,121,4
2020-11-29,177,94,6
2020-11-30,223,127,4
2020-12-01,208,123,2
2020-12-02,155,90,4
2020-12-03,168,96,3
2020-12-04,158,93,6
2020-12-05,159,84,9
2020-12-06,143,78,8
2020-12-07,185,96,5
2020-12-08,172,83,5
2020-12-09,197,99,4
2020-12-10,218,105,11
2020-12-11,197,86,8
2020-12-12,201,105,6
2020-12-13,168,69,4
2020-12-14,234,103,6
2020-12-15,215,81,2
2020-12-16,257,92,9
2020-12-17,232,100,2
2020-12-18,244,98,1
2020-12-19,250,99,8
2020-12-20,251,95,5
2020-12-21,300,119,6
2020-12-22,290,100,4
2020-12-23,273,115,2
2020-12-24,297,128,4
2020-12-25,367,135,9
2020-12-26,417,177,6
2020-12-27,391,153,11
2020-12-28,463,180,7
2020-12-29,381,160,6
2020-12-30,366,143,5
2020-12-31,348,153,2
2021-01-01,427,179,8
2021-01-02,548,228,8
2021-01-03,531,227,8
2021-01-04,590,238,14
2021-01-05,483,193,4
2021-01-06,434,201,4
2021-01-07,445,183,7
2021-01-08,478,216,5
2021-01-09,451,193,3
2021-01-10,429,208,9
2021-01-11,463,212,4
2021-01-12,402,172,4
2021-01-13,370,174,6
2021-01-14,383,173,6
2021-01-15,367,167,13
2021-01-16,385,165,5
2021-01-17,391,171,4
2021-01-18,455,181,6
2021-01-19,373,165,4
2021-01-20,359,146,7
2021-01-21,324,130,4
2021-01-22,367,186,3
2021-01-23,332,152,5
2021-01-24,358,181,4
2021-01-25,438,204,6
2021-01-26,351,182,8
2021-01-27,301,148,1
2021-01-28,284,129,7
2021-01-29,274,130,3
2021-01-30,262,145,5
2021-01-31,250,133,5
2021-02-01,308,148,5
2021-02-02,225,121,4
2021-02-03,220,105,8
2021-02-04,163,76,0
2021-02-05,146,82,3
2021-02-06,113,59,1
2021-02-07,82,32,1
2021-02-08,49,15,0
2021-02-09,23,14,0
2021-02-10,2,2,0
2021-02-11,3,3,0
2021-02-12,1,1,0
2021-02-13,0,0,0
2021-02-14,2,0,0
2021-02-15,1,1,0
2021-02-16,2,1,0
